file,error
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\java_yml_files\cicirello@Chips-n-Salsa\gha_manual-deploy-github-only.yml,"YAML error: while scanning for the next token
found character '\t' that cannot start any token
  in ""C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\java_yml_files\cicirello@Chips-n-Salsa\gha_manual-deploy-github-only.yml"", line 8, column 23"
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\java_yml_files\cicirello@Chips-n-Salsa\gha_manual-deploy.yml,"YAML error: while scanning for the next token
found character '\t' that cannot start any token
  in ""C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\java_yml_files\cicirello@Chips-n-Salsa\gha_manual-deploy.yml"", line 8, column 23"
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\java_yml_files\cicirello@Chips-n-Salsa\gha_maven-publish.yml,"YAML error: while scanning for the next token
found character '\t' that cannot start any token
  in ""C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\java_yml_files\cicirello@Chips-n-Salsa\gha_maven-publish.yml"", line 44, column 66"
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\java_yml_files\exadel-inc@CompreFace\gha_Release-Push-Single-Image-to-Dockerhub.yml,"YAML error: mapping values are not allowed here
  in ""C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\java_yml_files\exadel-inc@CompreFace\gha_Release-Push-Single-Image-to-Dockerhub.yml"", line 57, column 27"
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\java_yml_files\GetStream@stream-java\gha_javadoc.yml,"YAML error: while parsing a block mapping
  in ""C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\java_yml_files\GetStream@stream-java\gha_javadoc.yml"", line 10, column 9
expected <block end>, but found '-'
  in ""C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\java_yml_files\GetStream@stream-java\gha_javadoc.yml"", line 14, column 9"
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\java_yml_files\jenly1314@ASocket\gha_gradle.yml,"YAML error: mapping values are not allowed here
  in ""C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\java_yml_files\jenly1314@ASocket\gha_gradle.yml"", line 21, column 13"
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\java_yml_files\LoboEvolution@LoboEvolution\gha_codeql.yml,"YAML error: while scanning for the next token
found character '\t' that cannot start any token
  in ""C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\java_yml_files\LoboEvolution@LoboEvolution\gha_codeql.yml"", line 46, column 34"
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\java_yml_files\nextcloud@Android-SingleSignOn\gha_autoApproveDependabot.yml,"YAML error: while scanning an alias
  in ""C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\java_yml_files\nextcloud@Android-SingleSignOn\gha_autoApproveDependabot.yml"", line 1, column 2
expected alphabetic or numeric character, but found ' '
  in ""C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\java_yml_files\nextcloud@Android-SingleSignOn\gha_autoApproveDependabot.yml"", line 1, column 3"
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\java_yml_files\AthenZ@athenz\gha_main-branch-push.yaml,"YAML error: while scanning for the next token
found character '\t' that cannot start any token
  in ""C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\java_yml_files\AthenZ@athenz\gha_main-branch-push.yaml"", line 40, column 59"
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\java_yml_files\AthenZ@athenz\gha_pull-request.yaml,"YAML error: while scanning for the next token
found character '\t' that cannot start any token
  in ""C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\java_yml_files\AthenZ@athenz\gha_pull-request.yaml"", line 40, column 59"
