file,reason
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\arpastrana@jax_fdm\gha_docs.yml,Missing 'jobs' key
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\Blaizzy@mlx-embeddings\gha_docs-build.yml,Not a dictionary
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\Blaizzy@mlx-embeddings\gha_docs.yml,Not a dictionary
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\certtools@intelmq\gha_ansible-playbook.yml,Not a dictionary
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\ecmwf@earthkit\gha_notify-new-issue.yml,Not a dictionary
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\ecmwf@earthkit\gha_notify-new-pr.yml,Not a dictionary
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\Fusion-Power-Plant-Framework@bluemira\gha_action.yml,Missing 'jobs' key
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\internetarchive@brozzler\gha_action.yml,Missing 'jobs' key
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\IQTLabs@gamutRF\gha_semgrep-dockerfile.yml,Missing 'jobs' key
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\IQTLabs@gamutRF\gha_semgrep-python.yml,Missing 'jobs' key
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\IQTLabs@gamutRF\gha_whispers-config.yml,Missing 'jobs' key
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\JohannesBuchner@BXA\gha_ciao-conda-env.yml,Missing 'jobs' key
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\LaggAt@python-govee-api\gha_dependabot.yml,Missing 'jobs' key
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\Ludy87@xplora_watch\gha_labeler.yml,Missing 'jobs' key
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\microsoft@mu\gha_file-paths.yml,Missing 'jobs' key
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\microsoft@mu\gha_regex-pull-requests.yml,Missing 'jobs' key
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\MobileTeleSystems@onetl\gha_matrix.yml,Missing 'jobs' key
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\modin-project@modin\gha_codeql-config.yml,Missing 'jobs' key
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\moralmunky@Home-Assistant-Mail-And-Packages\gha_labeler.yml,Not a dictionary
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\nasa@progpy\gha_print-benchmarking.yml,Not a dictionary
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\ngine-io@cs\gha_action.yml,Missing 'jobs' key
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\oracle@accelerated-data-science\gha_action.yml,Missing 'jobs' key
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\OWASP@OpenCRE\gha_e2e.yml,Not a dictionary
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\RocketPy-Team@RocketPy\gha_codecov.yml,Missing 'jobs' key
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\SciTools@iris\gha_action.yml,Missing 'jobs' key
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\TencentBlueKing@bk-user\gha_eslint.yml,Not a dictionary
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\zylon-ai@private-gpt\gha_action.yml,Missing 'jobs' key
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\archlinux@archinstall\gha_translation-check.yaml,Not a dictionary
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\automl@auto-sklearn\gha_classification.yaml,Not a dictionary
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\automl@auto-sklearn\gha_config.yaml,Missing 'jobs' key
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\automl@auto-sklearn\gha_constraints.yaml,Missing 'jobs' key
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\automl@auto-sklearn\gha_frameworks.yaml,Not a dictionary
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\automl@auto-sklearn\gha_regression.yaml,Not a dictionary
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\commaai@openpilot\gha_action.yaml,Missing 'jobs' key
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\jomjol@AI-on-the-edge-device-docs\gha_documentation-issue.yaml,Missing 'jobs' key
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\kubernetes-client@python\gha_cluster-1.15.yaml,Missing 'jobs' key
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\kubernetes-client@python\gha_cluster-1.16.yaml,Missing 'jobs' key
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\kubernetes-client@python\gha_cluster-1.17.yaml,Missing 'jobs' key
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\kubernetes-client@python\gha_cluster-1.18.yaml,Missing 'jobs' key
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\kubernetes-client@python\gha_cluster-1.25.yaml,Missing 'jobs' key
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\kubernetes-client@python\gha_cluster-1.26.yaml,Missing 'jobs' key
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\opea-project@GenAIComps\gha_chathistory-compose.yaml,Missing 'jobs' key
C:\Users\Taherco\Downloads\Edward_EMSE - ReplicationPackage\data\workflows\python_yml_files\opea-project@GenAIComps\gha_finetuning-compose.yaml,Missing 'jobs' key
