"language","feature","count","total","proportion","percentage"
"Overall","has_matrix","9108","27759","0.328","32.8"
"Overall","has_conditionals","10047","27759","0.362","36.2"
"Overall","uses_reusable_workflows","2306","27759","0.083","8.3"
"Overall","uses_external_actions","25783","27759","0.929","92.9"
"Overall","uses_local_actions","1058","27759","0.038","3.8"
"Overall","has_job_dependencies","4153","27759","0.15","15.0"
"C++","has_matrix","2484","6687","0.371","37.1"
"C++","has_conditionals","2787","6687","0.417","41.7"
"C++","uses_reusable_workflows","617","6687","0.092","9.2"
"C++","uses_external_actions","6184","6687","0.925","92.5"
"C++","uses_local_actions","287","6687","0.043","4.3"
"C++","has_job_dependencies","1063","6687","0.159","15.9"
"Java","has_matrix","1368","5733","0.239","23.9"
"Java","has_conditionals","2036","5733","0.355","35.5"
"Java","uses_reusable_workflows","747","5733","0.13","13.0"
"Java","uses_external_actions","5041","5733","0.879","87.9"
"Java","uses_local_actions","217","5733","0.038","3.8"
"Java","has_job_dependencies","711","5733","0.124","12.4"
"Python","has_matrix","5256","15339","0.343","34.3"
"Python","has_conditionals","5224","15339","0.341","34.1"
"Python","uses_reusable_workflows","942","15339","0.061","6.1"
"Python","uses_external_actions","14558","15339","0.949","94.9"
"Python","uses_local_actions","554","15339","0.036","3.6"
"Python","has_job_dependencies","2379","15339","0.155","15.5"
