"language","metric","interpretation","count","percentage"
"Overall","lines_of_yaml","low","19529","70.4"
"Overall","lines_of_yaml","moderate","2772","10.0"
"Overall","lines_of_yaml","high","2688","9.7"
"Overall","lines_of_yaml","very high","2770","10.0"
"C++","lines_of_yaml","low","3928","58.7"
"C++","lines_of_yaml","moderate","701","10.5"
"C++","lines_of_yaml","high","854","12.8"
"C++","lines_of_yaml","very high","1204","18.0"
"Java","lines_of_yaml","low","4347","75.8"
"Java","lines_of_yaml","moderate","521","9.1"
"Java","lines_of_yaml","high","444","7.7"
"Java","lines_of_yaml","very high","421","7.3"
"Python","lines_of_yaml","low","11254","73.4"
"Python","lines_of_yaml","moderate","1550","10.1"
"Python","lines_of_yaml","high","1390","9.1"
"Python","lines_of_yaml","very high","1145","7.5"
"Overall","num_jobs","low","20941","75.4"
"Overall","num_jobs","moderate","3257","11.7"
"Overall","num_jobs","high","1421","5.1"
"Overall","num_jobs","very high","2140","7.7"
"C++","num_jobs","low","4802","71.8"
"C++","num_jobs","moderate","759","11.4"
"C++","num_jobs","high","387","5.8"
"C++","num_jobs","very high","739","11.1"
"Java","num_jobs","low","4586","80.0"
"Java","num_jobs","moderate","604","10.5"
"Java","num_jobs","high","229","4.0"
"Java","num_jobs","very high","314","5.5"
"Python","num_jobs","low","11553","75.3"
"Python","num_jobs","moderate","1894","12.3"
"Python","num_jobs","high","805","5.2"
"Python","num_jobs","very high","1087","7.1"
"Overall","num_steps","low","20688","74.5"
"Overall","num_steps","moderate","1859","6.7"
"Overall","num_steps","high","2686","9.7"
"Overall","num_steps","very high","2526","9.1"
"C++","num_steps","low","4424","66.2"
"C++","num_steps","moderate","504","7.5"
"C++","num_steps","high","808","12.1"
"C++","num_steps","very high","951","14.2"
"Java","num_steps","low","4652","81.1"
"Java","num_steps","moderate","291","5.1"
"Java","num_steps","high","411","7.2"
"Java","num_steps","very high","379","6.6"
"Python","num_steps","low","11612","75.7"
"Python","num_steps","moderate","1064","6.9"
"Python","num_steps","high","1467","9.6"
"Python","num_steps","very high","1196","7.8"
"Overall","max_nesting_depth","low","27758","100.0"
"Overall","max_nesting_depth","moderate","0","0.0"
"Overall","max_nesting_depth","high","0","0.0"
"Overall","max_nesting_depth","very high","1","0.0"
"C++","max_nesting_depth","low","6687","100.0"
"C++","max_nesting_depth","moderate","0","0.0"
"C++","max_nesting_depth","high","0","0.0"
"C++","max_nesting_depth","very high","0","0.0"
"Java","max_nesting_depth","low","5733","100.0"
"Java","max_nesting_depth","moderate","0","0.0"
"Java","max_nesting_depth","high","0","0.0"
"Java","max_nesting_depth","very high","0","0.0"
"Python","max_nesting_depth","low","15338","100.0"
"Python","max_nesting_depth","moderate","0","0.0"
"Python","max_nesting_depth","high","0","0.0"
"Python","max_nesting_depth","very high","1","0.0"
"Overall","job_parallelism","low","20939","75.4"
"Overall","job_parallelism","moderate","3259","11.7"
"Overall","job_parallelism","high","1421","5.1"
"Overall","job_parallelism","very high","2140","7.7"
"C++","job_parallelism","low","4800","71.8"
"C++","job_parallelism","moderate","761","11.4"
"C++","job_parallelism","high","387","5.8"
"C++","job_parallelism","very high","739","11.1"
"Java","job_parallelism","low","4586","80.0"
"Java","job_parallelism","moderate","604","10.5"
"Java","job_parallelism","high","229","4.0"
"Java","job_parallelism","very high","314","5.5"
"Python","job_parallelism","low","11553","75.3"
"Python","job_parallelism","moderate","1894","12.3"
"Python","job_parallelism","high","805","5.2"
"Python","job_parallelism","very high","1087","7.1"
"Overall","max_sequential_steps","low","20006","72.1"
"Overall","max_sequential_steps","moderate","3692","13.3"
"Overall","max_sequential_steps","high","1756","6.3"
"Overall","max_sequential_steps","very high","2305","8.3"
"C++","max_sequential_steps","low","4242","63.4"
"C++","max_sequential_steps","moderate","948","14.2"
"C++","max_sequential_steps","high","544","8.1"
"C++","max_sequential_steps","very high","953","14.3"
"Java","max_sequential_steps","low","4428","77.2"
"Java","max_sequential_steps","moderate","636","11.1"
"Java","max_sequential_steps","high","304","5.3"
"Java","max_sequential_steps","very high","365","6.4"
"Python","max_sequential_steps","low","11336","73.9"
"Python","max_sequential_steps","moderate","2108","13.7"
"Python","max_sequential_steps","high","908","5.9"
"Python","max_sequential_steps","very high","987","6.4"
"Overall","vertical_depth","low","23608","85.0"
"Overall","vertical_depth","moderate","0","0.0"
"Overall","vertical_depth","high","2823","10.2"
"Overall","vertical_depth","very high","1328","4.8"
"C++","vertical_depth","low","5624","84.1"
"C++","vertical_depth","moderate","0","0.0"
"C++","vertical_depth","high","711","10.6"
"C++","vertical_depth","very high","352","5.3"
"Java","vertical_depth","low","5023","87.6"
"Java","vertical_depth","moderate","0","0.0"
"Java","vertical_depth","high","474","8.3"
"Java","vertical_depth","very high","236","4.1"
"Python","vertical_depth","low","12961","84.5"
"Python","vertical_depth","moderate","0","0.0"
"Python","vertical_depth","high","1638","10.7"
"Python","vertical_depth","very high","740","4.8"
"Overall","matrix_size","low","19706","71.0"
"Overall","matrix_size","moderate","2984","10.7"
"Overall","matrix_size","high","2753","9.9"
"Overall","matrix_size","very high","2316","8.3"
"C++","matrix_size","low","4653","69.6"
"C++","matrix_size","moderate","740","11.1"
"C++","matrix_size","high","655","9.8"
"C++","matrix_size","very high","639","9.6"
"Java","matrix_size","low","4521","78.9"
"Java","matrix_size","moderate","639","11.1"
"Java","matrix_size","high","362","6.3"
"Java","matrix_size","very high","211","3.7"
"Python","matrix_size","low","10532","68.7"
"Python","matrix_size","moderate","1605","10.5"
"Python","matrix_size","high","1736","11.3"
"Python","matrix_size","very high","1466","9.6"
"Overall","num_conditionals","low","22314","80.4"
"Overall","num_conditionals","moderate","0","0.0"
"Overall","num_conditionals","high","3064","11.0"
"Overall","num_conditionals","very high","2381","8.6"
"C++","num_conditionals","low","4955","74.1"
"C++","num_conditionals","moderate","0","0.0"
"C++","num_conditionals","high","813","12.2"
"C++","num_conditionals","very high","919","13.7"
"Java","num_conditionals","low","4706","82.1"
"Java","num_conditionals","moderate","0","0.0"
"Java","num_conditionals","high","629","11.0"
"Java","num_conditionals","very high","398","6.9"
"Python","num_conditionals","low","12653","82.5"
"Python","num_conditionals","moderate","0","0.0"
"Python","num_conditionals","high","1622","10.6"
"Python","num_conditionals","very high","1064","6.9"
"Overall","num_job_dependencies","low","23606","85.0"
"Overall","num_job_dependencies","moderate","0","0.0"
"Overall","num_job_dependencies","high","1941","7.0"
"Overall","num_job_dependencies","very high","2212","8.0"
"C++","num_job_dependencies","low","5624","84.1"
"C++","num_job_dependencies","moderate","0","0.0"
"C++","num_job_dependencies","high","425","6.4"
"C++","num_job_dependencies","very high","638","9.5"
"Java","num_job_dependencies","low","5022","87.6"
"Java","num_job_dependencies","moderate","0","0.0"
"Java","num_job_dependencies","high","351","6.1"
"Java","num_job_dependencies","very high","360","6.3"
"Python","num_job_dependencies","low","12960","84.5"
"Python","num_job_dependencies","moderate","0","0.0"
"Python","num_job_dependencies","high","1165","7.6"
"Python","num_job_dependencies","very high","1214","7.9"
"Overall","num_reusable_workflows","low","25453","91.7"
"Overall","num_reusable_workflows","moderate","0","0.0"
"Overall","num_reusable_workflows","high","0","0.0"
"Overall","num_reusable_workflows","very high","2306","8.3"
"C++","num_reusable_workflows","low","6070","90.8"
"C++","num_reusable_workflows","moderate","0","0.0"
"C++","num_reusable_workflows","high","0","0.0"
"C++","num_reusable_workflows","very high","617","9.2"
"Java","num_reusable_workflows","low","4986","87.0"
"Java","num_reusable_workflows","moderate","0","0.0"
"Java","num_reusable_workflows","high","0","0.0"
"Java","num_reusable_workflows","very high","747","13.0"
"Python","num_reusable_workflows","low","14397","93.9"
"Python","num_reusable_workflows","moderate","0","0.0"
"Python","num_reusable_workflows","high","0","0.0"
"Python","num_reusable_workflows","very high","942","6.1"
"Overall","num_unique_external_actions","low","20153","72.6"
"Overall","num_unique_external_actions","moderate","3645","13.1"
"Overall","num_unique_external_actions","high","1953","7.0"
"Overall","num_unique_external_actions","very high","2008","7.2"
"C++","num_unique_external_actions","low","4894","73.2"
"C++","num_unique_external_actions","moderate","801","12.0"
"C++","num_unique_external_actions","high","495","7.4"
"C++","num_unique_external_actions","very high","497","7.4"
"Java","num_unique_external_actions","low","4056","70.7"
"Java","num_unique_external_actions","moderate","757","13.2"
"Java","num_unique_external_actions","high","465","8.1"
"Java","num_unique_external_actions","very high","455","7.9"
"Python","num_unique_external_actions","low","11203","73.0"
"Python","num_unique_external_actions","moderate","2087","13.6"
"Python","num_unique_external_actions","high","993","6.5"
"Python","num_unique_external_actions","very high","1056","6.9"
"Overall","num_local_actions","low","26701","96.2"
"Overall","num_local_actions","moderate","0","0.0"
"Overall","num_local_actions","high","0","0.0"
"Overall","num_local_actions","very high","1058","3.8"
"C++","num_local_actions","low","6400","95.7"
"C++","num_local_actions","moderate","0","0.0"
"C++","num_local_actions","high","0","0.0"
"C++","num_local_actions","very high","287","4.3"
"Java","num_local_actions","low","5516","96.2"
"Java","num_local_actions","moderate","0","0.0"
"Java","num_local_actions","high","0","0.0"
"Java","num_local_actions","very high","217","3.8"
"Python","num_local_actions","low","14785","96.4"
"Python","num_local_actions","moderate","0","0.0"
"Python","num_local_actions","high","0","0.0"
"Python","num_local_actions","very high","554","3.6"
"Overall","num_marketplace_actions","low","22810","82.2"
"Overall","num_marketplace_actions","moderate","0","0.0"
"Overall","num_marketplace_actions","high","2731","9.8"
"Overall","num_marketplace_actions","very high","2218","8.0"
"C++","num_marketplace_actions","low","5262","78.7"
"C++","num_marketplace_actions","moderate","0","0.0"
"C++","num_marketplace_actions","high","789","11.8"
"C++","num_marketplace_actions","very high","636","9.5"
"Java","num_marketplace_actions","low","4931","86.0"
"Java","num_marketplace_actions","moderate","0","0.0"
"Java","num_marketplace_actions","high","417","7.3"
"Java","num_marketplace_actions","very high","385","6.7"
"Python","num_marketplace_actions","low","12617","82.3"
"Python","num_marketplace_actions","moderate","0","0.0"
"Python","num_marketplace_actions","high","1525","9.9"
"Python","num_marketplace_actions","very high","1197","7.8"
"Overall","avg_steps_per_job","low","21441","77.2"
"Overall","avg_steps_per_job","moderate","2008","7.2"
"Overall","avg_steps_per_job","high","2099","7.6"
"Overall","avg_steps_per_job","very high","2211","8.0"
"C++","avg_steps_per_job","low","4642","69.4"
"C++","avg_steps_per_job","moderate","510","7.6"
"C++","avg_steps_per_job","high","632","9.5"
"C++","avg_steps_per_job","very high","903","13.5"
"Java","avg_steps_per_job","low","4656","81.2"
"Java","avg_steps_per_job","moderate","360","6.3"
"Java","avg_steps_per_job","high","355","6.2"
