scope,pattern,count,percentage
c++,build_no_test,40,50.63
c++,test_no_build,4,5.06
c++,test_no_checkout,0,0.0
c++,build_no_checkout,0,0.0
c++,build_no_setup,18,22.78
c++,test_no_setup,5,6.33
c++,checkout_only,11,13.92
c++,no_checkout_no_setup,8,10.13
java,build_no_test,41,56.94
java,test_no_build,6,8.33
java,test_no_checkout,0,0.0
java,build_no_checkout,0,0.0
java,build_no_setup,2,2.78
java,test_no_setup,1,1.39
java,checkout_only,7,9.72
java,no_checkout_no_setup,8,11.11
python,build_no_test,82,38.32
python,test_no_build,34,15.89
python,test_no_checkout,1,0.47
python,build_no_checkout,1,0.47
python,build_no_setup,35,16.36
python,test_no_setup,4,1.87
python,checkout_only,63,29.44
python,no_checkout_no_setup,15,7.01
global,build_no_test,163,44.66
global,test_no_build,44,12.05
global,test_no_checkout,1,0.27
global,build_no_checkout,1,0.27
global,build_no_setup,55,15.07
global,test_no_setup,10,2.74
global,checkout_only,81,22.19
global,no_checkout_no_setup,31,8.49
