scope,construct,count,percentage,is_common
global,Checkout Repository,334,91.51,True
global,Setup Runtime Environment,218,59.73,True
global,Build Project,164,44.93,True
global,Install Project Dependencies,158,43.29,True
global,Upload Build Artifacts,99,27.12,True
global,Execute Tests,91,24.93,True
global,Run Static Analysis,50,13.7,True
global,Manage Build Cache,47,12.88,True
global,Setup Build Environment,43,11.78,True
global,Download Build Artifacts,36,9.86,True
global,Configure Build Profile,35,9.59,True
global,Perform Security Analysis,30,8.22,True
global,Initialize Security Analysis,29,7.95,True
global,Build Source Code,28,7.67,True
global,Configure Cloud Resources,28,7.67,True
global,Publish Package,27,7.4,True
global,Publish Release,27,7.4,True
global,Export Environment Configuration,26,7.12,True
global,Generate Version Metadata,25,6.85,True
global,Generate Test Coverage,23,6.3,True
global,Build Package,19,5.21,True
global,Upload Coverage,18,4.93,False
global,Inspect Runtime Environment,18,4.93,False
global,Deploy Documentation,15,4.11,False
global,Deploy Application,14,3.84,False
global,Verify Build Integrity,14,3.84,False
global,Build Documentation,13,3.56,False
global,Clean Project Artifacts,12,3.29,False
global,Publish Release Assets,10,2.74,False
global,Manage Workflow Automation,10,2.74,False
global,Download External Resources,8,2.19,False
global,Build Container Image,7,1.92,False
global,Send Notification,6,1.64,False
global,Execute Benchmarks,6,1.64,False
global,Install External Tool,5,1.37,False
global,Execute Automation Script,4,1.1,False
global,Free Disk Space (Ubuntu),3,0.82,False
global,Configure Secure Access,3,0.82,False
global,Switch Git Reference,3,0.82,False
global,Manage Labels,3,0.82,False
global,Validate Outputs,3,0.82,False
global,HACS Action,2,0.55,False
global,Setup Base Environment,2,0.55,False
global,Execute Script,2,0.55,False
global,Ros-Industrial/Industrial Ci,2,0.55,False
global,validate codemeta,2,0.55,False
global,Run script,2,0.55,False
global,Build Static Site,2,0.55,False
global,Decide whether the needed jobs succeeded or failed,2,0.55,False
global,twine check dist/*,2,0.55,False
global,DenverCoder1/doxygen-github-pages-action,2,0.55,False
global,fkirc/skip-duplicate-actions,2,0.55,False
global,gradle/actions/wrapper-validation,2,0.55,False
global,Enable KVM group perms,2,0.55,False
global,Generate cache key,1,0.27,False
global,Publish Conda package on organization channel,1,0.27,False
global,Publish Conda package on personal channel,1,0.27,False
global,Install CUDA ${{ matrix.cuda-version }},1,0.27,False
global,Set postgresql uid/gid,1,0.27,False
global,Check for spelling typos,1,0.27,False
global,Verify clean directory,1,0.27,False
global,Build Python Wheel,1,0.27,False
global,Check metadata,1,0.27,False
global,home-assistant/actions/hassfest,1,0.27,False
global,Run autogen,1,0.27,False
global,Configure,1,0.27,False
global,Set up Gradle build,1,0.27,False
global,Set ESDB docker repo,1,0.27,False
global,rickstaa/action-create-tag,1,0.27,False
global,Generate Project Files,1,0.27,False
global,Install specified Qt version,1,0.27,False
global,Install native Qt by package manager,1,0.27,False
global,Get cache key,1,0.27,False
global,"Echo ""Sam Cli Version=$(Curl -S Https://Pypi.Org/Pypi/Aws-Sa...",1,0.27,False
global,Orchestrate Workflow,1,0.27,False
global,Hassfest validation,1,0.27,False
global,HACS validation,1,0.27,False
global,Download,1,0.27,False
global,Download JSON schema for labels configuration file,1,0.27,False
global,Sync labels,1,0.27,False
global,Merge label configuration files,1,0.27,False
global,Start Services,1,0.27,False
global,Collect Debug Logs,1,0.27,False
global,Capture Test Output,1,0.27,False
global,Log System Output,1,0.27,False
global,Capture Messages,1,0.27,False
global,Process Output Files,1,0.27,False
global,Collect Application Logs,1,0.27,False
global,Setup prerequisites,1,0.27,False
