scope,step_a,step_b,count,percentage
global,Checkout Repository,Setup Runtime Environment,218,59.73
global,Build Project,Checkout Repository,164,44.93
global,Checkout Repository,Install Project Dependencies,158,43.29
global,Install Project Dependencies,Setup Runtime Environment,128,35.07
global,Build Project,Setup Runtime Environment,104,28.49
global,Checkout Repository,Upload Build Artifacts,99,27.12
global,Checkout Repository,Execute Tests,90,24.66
global,Setup Runtime Environment,Upload Build Artifacts,75,20.55
global,Execute Tests,Setup Runtime Environment,72,19.73
global,Build Project,Install Project Dependencies,58,15.89
global,Execute Tests,Install Project Dependencies,57,15.62
global,Build Project,Upload Build Artifacts,52,14.25
global,Install Project Dependencies,Upload Build Artifacts,51,13.97
global,Checkout Repository,Run Static Analysis,49,13.42
global,Checkout Repository,Manage Build Cache,47,12.88
global,Run Static Analysis,Setup Runtime Environment,45,12.33
global,Checkout Repository,Setup Build Environment,43,11.78
global,Manage Build Cache,Setup Runtime Environment,38,10.41
global,Install Project Dependencies,Run Static Analysis,36,9.86
global,Checkout Repository,Download Build Artifacts,35,9.59
global,Checkout Repository,Configure Build Profile,35,9.59
global,Build Project,Execute Tests,32,8.77
global,Download Build Artifacts,Upload Build Artifacts,30,8.22
global,Checkout Repository,Perform Security Analysis,30,8.22
global,Download Build Artifacts,Setup Runtime Environment,29,7.95
global,Checkout Repository,Initialize Security Analysis,29,7.95
global,Initialize Security Analysis,Perform Security Analysis,29,7.95
global,Build Project,Setup Build Environment,29,7.95
global,Build Source Code,Checkout Repository,28,7.67
global,Build Project,Manage Build Cache,27,7.4
c++,Build Project,Checkout Repository,41,51.9
c++,Checkout Repository,Install Project Dependencies,34,43.04
c++,Checkout Repository,Setup Runtime Environment,28,35.44
c++,Build Source Code,Checkout Repository,26,32.91
c++,Checkout Repository,Setup Build Environment,24,30.38
c++,Checkout Repository,Upload Build Artifacts,23,29.11
c++,Build Project,Install Project Dependencies,22,27.85
c++,Checkout Repository,Execute Tests,20,25.32
c++,Build Project,Setup Runtime Environment,18,22.78
c++,Build Source Code,Install Project Dependencies,17,21.52
c++,Checkout Repository,Manage Build Cache,16,20.25
c++,Build Project,Build Source Code,15,18.99
c++,Install Project Dependencies,Setup Runtime Environment,15,18.99
c++,Build Project,Upload Build Artifacts,14,17.72
c++,Build Project,Setup Build Environment,14,17.72
c++,Execute Tests,Setup Build Environment,12,15.19
