scope,from_step,to_step,count,pct_of_all_transitions
global,Checkout Repository,Setup Runtime Environment,161,9.163
global,Setup Runtime Environment,Install Project Dependencies,98,5.578
global,Setup Runtime Environment,Build Project,30,1.707
global,Build Project,Perform Security Analysis,25,1.423
global,Checkout Repository,Initialize Security Analysis,23,1.309
global,Install Project Dependencies,Build Project,23,1.309
global,Checkout Repository,Install Project Dependencies,22,1.252
global,Initialize Security Analysis,Build Project,22,1.252
global,Install Project Dependencies,Run Static Analysis,22,1.252
global,Build Project,Upload Build Artifacts,20,1.138
global,Install Project Dependencies,Execute Tests,20,1.138
global,Upload Build Artifacts,Download Build Artifacts,16,0.911
global,Checkout Repository,Setup Build Environment,15,0.854
global,Build Project,Execute Tests,14,0.797
global,Setup Runtime Environment,Manage Build Cache,14,0.797
global,Checkout Repository,Build Project,11,0.626
global,Run Static Analysis,Execute Tests,11,0.626
global,Manage Build Cache,Build Project,10,0.569
global,Setup Build Environment,Build Project,9,0.512
global,Checkout Repository,Generate Version Metadata,8,0.455
global,Checkout Repository,Manage Build Cache,8,0.455
global,Setup Runtime Environment,Run Static Analysis,8,0.455
global,Configure Build Profile,Upload Build Artifacts,7,0.398
global,Install Project Dependencies,Setup Runtime Environment,7,0.398
global,Configure Cloud Resources,Build Project,7,0.398
global,Checkout Repository,Configure Cloud Resources,7,0.398
global,Execute Tests,Upload Coverage,7,0.398
global,Build Source Code,Build Project,6,0.341
global,Download Build Artifacts,Publish Package,6,0.341
global,Upload Build Artifacts,Deploy Application,6,0.341
global,Manage Build Cache,Install Project Dependencies,6,0.341
global,Setup Build Environment,Configure Cloud Resources,6,0.341
global,Install Project Dependencies,Generate Test Coverage,6,0.341
global,Manage Build Cache,Setup Runtime Environment,6,0.341
global,Build Project,Publish Package,6,0.341
global,Checkout Repository,Export Environment Configuration,6,0.341
global,Execute Tests,Generate Test Coverage,6,0.341
global,Install Project Dependencies,Manage Build Cache,6,0.341
global,Build Project,Deploy Documentation,5,0.285
global,Generate Test Coverage,Upload Coverage,5,0.285
global,Setup Runtime Environment,Export Environment Configuration,5,0.285
global,Install Project Dependencies,Build Package,5,0.285
global,Build Package,Publish Package,5,0.285
global,Configure Cloud Resources,Generate Version Metadata,5,0.285
global,Generate Version Metadata,Build Project,5,0.285
global,Execute Tests,Upload Build Artifacts,5,0.285
