trigger,construct,pct_with_trigger,pct_without,n_with,n_without,diff
push,checkout,97.35,76.24,264,101,21.11
push,setup,68.94,61.39,264,101,7.55
push,build,63.26,42.57,264,101,20.69
push,test,30.3,10.89,264,101,19.41
push,cache,15.53,5.94,264,101,9.59
push,reusable,1.89,3.96,264,101,-2.07
push,composite,0.38,0.0,264,101,0.38
pull_request,checkout,95.89,84.93,219,146,10.96
pull_request,setup,69.41,63.01,219,146,6.4
pull_request,build,63.93,47.95,219,146,15.98
pull_request,test,35.62,8.9,219,146,26.72
pull_request,cache,15.53,8.9,219,146,6.63
pull_request,reusable,2.28,2.74,219,146,-0.46
pull_request,composite,0.46,0.0,219,146,0.46
schedule,checkout,88.0,92.41,75,290,-4.41
schedule,setup,44.0,72.76,75,290,-28.76
schedule,build,48.0,60.0,75,290,-12.0
schedule,test,17.33,26.9,75,290,-9.57
schedule,cache,6.67,14.48,75,290,-7.81
schedule,reusable,2.67,2.41,75,290,0.26
schedule,composite,1.33,0.0,75,290,1.33
workflow_dispatch,checkout,95.0,90.19,100,265,4.81
workflow_dispatch,setup,75.0,63.77,100,265,11.23
workflow_dispatch,build,63.0,55.47,100,265,7.53
workflow_dispatch,test,25.0,24.91,100,265,0.09
workflow_dispatch,cache,11.0,13.58,100,265,-2.58
workflow_dispatch,reusable,6.0,1.13,100,265,4.87
workflow_dispatch,composite,0.0,0.38,100,265,-0.38
