project_id,workflow_file,language,parse_error,total_violations,weighted_severity,compliance_score,categories_violated
smallrye/smallrye-health,gha_build.yml,Java,,3,11,0.7179,"Reliability, Security, Versioning"
hibernate/hibernate-orm,gha_ci-report.yml,Java,,5,18,0.5385,"Efficiency, Reliability, Security, Versioning"
rusty1s/pytorch_cluster,gha_building-conda.yml,C++,,3,13,0.6667,"Reliability, Security"
AnyDSL/MimIR,gha_doxygen.yml,C++,,4,14,0.641,"Efficiency, Reliability, Security, Versioning"
yandex/pgmigrate,gha_test.yml,Python,,4,16,0.5897,"Efficiency, Reliability, Security"
mazhar-ansari-ardeh/BenchmarkFcns,gha_build.yaml,C++,,2,6,0.8462,"Reliability, Versioning"
jdeath/rd200v2,gha_hassfest.yaml,Python,,4,16,0.5897,"Reliability, Security, Versioning"
sogno-platform/cimpy,gha_codeql.yml,Python,,2,6,0.8462,"Reliability, Versioning"
emcrisostomo/fswatch,gha_c-cpp.yml,C++,,3,11,0.7179,"Efficiency, Reliability, Security"
LegacyModdingMC/UniMixins,gha_gradle.yml,Java,,4,14,0.641,"Efficiency, Reliability, Security, Versioning"
EventStore/EventStoreDB-Client-Java,gha_docker-repo.yml,Java,,3,11,0.7179,"Reliability, Security, Versioning"
redhat-performance/badfish,gha_codecov.yml,Python,,5,19,0.5128,"Efficiency, Reliability, Security, Versioning"
marcospereirampj/python-keycloak,gha_bump.yaml,Python,,3,12,0.6923,"Reliability, Security"
Erudika/scoold,gha_codeql.yml,Java,,2,6,0.8462,"Reliability, Versioning"
andreikop/python-ws-discovery,gha_pythonpackage.yml,Python,,4,14,0.641,"Efficiency, Reliability, Security, Versioning"
HealthByRo/drf_tweaks,gha_codeql-analysis.yml,Python,,3,11,0.7179,"Reliability, Security, Versioning"
supplyseer-ai/supplyseer,gha_docs.yml,Python,,3,9,0.7692,"Efficiency, Reliability, Versioning"
BEASTSM96/Saturn-Engine,gha_Windows.yml,C++,,3,11,0.7179,"Reliability, Security, Versioning"
cvut/qtrvsim,gha_debug.yml,C++,,4,14,0.641,"Efficiency, Maintainability, Reliability, Security"
jenkinsci/chucknorris-plugin,gha_jenkins-security-scan.yml,Java,,1,3,0.9231,Reliability
facebookresearch/Kats,gha_build_and_test.yml,Python,,4,14,0.641,"Efficiency, Reliability, Security, Versioning"
DessimozLab/FastOMA,gha_docker-image.yml,Python,,3,11,0.7179,"Reliability, Security, Versioning"
rnovacek/homeassistant_cz_energy_spot_prices,gha_hacs.yaml,Python,,4,16,0.5897,"Reliability, Security, Versioning"
aws/aws-sam-build-images,gha_build.yml,Python,,3,11,0.7179,"Reliability, Security, Versioning"
dbos-inc/dbos-transact-py,gha_publish.yml,Python,,2,6,0.8462,"Reliability, Versioning"
mapping-commons/sssom-py,gha_deploy-docs.yml,Python,,4,16,0.5897,"Reliability, Security, Versioning"
custom-components/sensor.avanza_stock,gha_cron.yaml,Python,,4,16,0.5897,"Reliability, Security, Versioning"
arduino/arduino-preprocessor,gha_sync-labels.yml,C++,,4,14,0.641,"Efficiency, Reliability, Security, Versioning"
aogier/starlette-authlib,gha_codeql.yml,Python,,2,6,0.8462,"Reliability, Versioning"
faucetsdn/udmi,gha_testing.yml,Java,,2,8,0.7949,"Maintainability, Security"
GeoStat-Framework/GSTools,gha_main.yml,Python,,5,17,0.5641,"Efficiency, Maintainability, Reliability, Security, Versioning"
managarm/xbstrap,gha_black.yml,Python,,4,14,0.641,"Efficiency, Reliability, Security, Versioning"
KhronosGroup/Vulkan-Headers,gha_ci.yml,C++,,3,9,0.7692,"Maintainability, Reliability, Versioning"
Pipoline/rocket-python,gha_codeql-analysis.yml,Python,,2,6,0.8462,"Reliability, Versioning"
alexlaverty/python-reddit-youtube-bot,gha_pr.yml,Python,,3,11,0.7179,"Reliability, Security, Versioning"
AMReX-Combustion/PelePhysics,gha_ci.yml,C++,,4,14,0.641,"Efficiency, Maintainability, Reliability, Security"
contrailcirrus/pycontrails,gha_docs.yaml,Python,,2,6,0.8462,"Reliability, Versioning"
alltheplaces/alltheplaces,gha_docker-publish.yml,Python,,3,11,0.7179,"Reliability, Security, Versioning"
ami-iit/matio-cpp,gha_assign-issue.yml,C++,,3,11,0.7179,"Reliability, Security, Versioning"
loco-3d/whole_body_state_rviz_plugin,gha_industrial_ci_action.yml,C++,,5,19,0.5128,"Efficiency, Reliability, Security, Versioning"
pranjal-joshi/Screeni-py,gha_workflow-build-matrix.yml,Python,,4,14,0.641,"Efficiency, Reliability, Security, Versioning"
lagmoellertim/unsilence,gha_codeql-analysis.yml,Python,,3,11,0.7179,"Reliability, Security, Versioning"
tcalmant/ipopo,gha_ci-build.yml,Python,,4,14,0.641,"Efficiency, Reliability, Security, Versioning"
sekai-soft/rss-lambda,gha_test-build-deploy.yml,Python,,6,22,0.4359,"Efficiency, Maintainability, Reliability, Security, Versioning"
rustyrussell/lnprototest,gha_build.yml,Python,,4,14,0.641,"Efficiency, Reliability, Security, Versioning"
roclark/sportsipy,gha_exhaustive.yml,Python,,3,11,0.7179,"Efficiency, Reliability, Security"
cds-astro/mocpy,gha_codemeta-validator.yml,Python,,3,11,0.7179,"Reliability, Security, Versioning"
pavan-kumar-99/medium-manifests,gha_auto-delete-deploy-key.yml,Python,,4,14,0.641,"Efficiency, Reliability, Security, Versioning"
haidaraM/ansible-playbook-grapher,gha_lint.yml,Python,,2,6,0.8462,"Reliability, Versioning"
django-haystack/pysolr,gha_codeql-analysis.yml,Python,,3,11,0.7179,"Reliability, Security, Versioning"
moiexpositoalonsolab/grenepipe,gha_ci.yaml,Python,,2,8,0.7949,"Reliability, Security"
NEUBIAS/training-resources,gha_template.yml,Python,,3,13,0.6667,"Reliability, Security"
ModbusScope/ModbusScope,gha_ccpp.yml,C++,,3,11,0.7179,"Reliability, Security, Versioning"
ami-iit/jaxsim,gha_ci_cd.yml,Python,,4,12,0.6923,"Efficiency, Maintainability, Reliability, Versioning"
fablabnbg/inkscape-silhouette,gha_release.yml,Python,,3,11,0.7179,"Efficiency, Reliability, Security"
melkypie/resource-packs,gha_check-pack.yml,Java,,3,11,0.7179,"Reliability, Security, Versioning"
CEXT-Dan/PyRx,gha_publish.yml,Python,,3,9,0.7692,"Efficiency, Reliability, Versioning"
yanglbme/gitee-pages-action,gha_compress.yml,Python,,4,16,0.5897,"Reliability, Security, Versioning"
physiopy/phys2bids,gha_auto-author-assign.yml,Python,,2,6,0.8462,"Reliability, Versioning"
Benchling-Open-Source/allotropy,gha_codeql.yml,Python,,2,6,0.8462,"Reliability, Versioning"
openid/OpenID4VP,gha_Build-OID4VP.yml,Python,,2,6,0.8462,"Reliability, Versioning"
apache/flink-kubernetes-operator,gha_ci.yml,Java,,3,11,0.7179,"Reliability, Security, Versioning"
geopython/pygeofilter,gha_main.yml,Python,,2,8,0.7949,"Reliability, Security"
CDCgov/prime-simplereport,gha_checkForChanges.yml,Java,,3,11,0.7179,"Reliability, Security, Versioning"
structr/structr,gha_codeql.yml,Java,,2,6,0.8462,"Reliability, Versioning"
airlift/aircompressor,gha_main.yml,Java,,3,11,0.7179,"Reliability, Security, Versioning"
plasma-umass/ChatDBG,gha_release.yml,C++,,3,9,0.7692,"Efficiency, Reliability, Versioning"
malinkang/duolingo2notion,gha_duolingo.yml,Python,,5,19,0.5128,"Efficiency, Reliability, Security, Versioning"
BayernMuller/vibra,gha_build-ci.yaml,C++,,3,11,0.7179,"Efficiency, Reliability, Security"
awslabs/seed-farmer,gha_check-documentation-build.yml,Python,,4,14,0.641,"Efficiency, Reliability, Security, Versioning"
